,Text
92,cerita cerita cerita dengar rasulullah shallallahu alaihi wasallam rombong bawa air beliau pergi buang hajat beliau temu beliau bawa air tuang air beliau beliau basuh telapak tangan muka beliau lengan beliau pakai jubah wol romawi sempit lengannva beliau lepas lengan tunduk arah khuf beliau lepas beliau sabda biar khuf masuk kaki khuf suci beliau usap khuf ayah asy syabi urwah saksi ayah ayah saksi rasulullah shallallahu alaihi wasallam cerita cerita rasulullah shallallahu alaihi wasallam lambat kisah orang orang nyata abdurrahman bin auf shalat shubuh tatkala abdurrahman lihat nabi shallallahu alaihi wasallam mundur beliau isyarat shalatnya nabi shallallahu alaihi wasallam shalat rakaat abdurrahman tatkala salam nabi shallallahu alaihi wasallam laku shalat tinggal abu dawud abu said al khudri ibnu az zubair ibnu umar barangsiapa shalat imam laku sujud sahwi
93,cerita cerita cerita dengar saksi abdurrahman bin auf wudhu rasulullah shallallahu alaihi wasallam bilal beliau buang hajat bawa air beliau berwudhu usap sorban sepatu abu dawud abu abdillah mantan sahaya bani taim bin murrah
94,cerita cerita buang air berwudhu usap khufnya gerangan halang usap lihat rasulullah shallallahu alaihi wasallam usap sahabat usap khuf laku turun ayat surat al ma idah masuk islam kecuali turun surah al ma idah
95,cerita cerita rasulullah shallallahu alaihi wasallam usap khuf tatkala berwudhu rasulullah engkau lupa beliau lupa rabbku azza wa jalla perintah
96,cerita cerita nabi shallallahu alaihi wasallam beliau sabda usap pasang khuf musafir orang mukim malam abu dawud riwayat sanad beliau beliau jangka
97,cerita darin rasulullah shallallahu alaihi wasallam berwudhu usap kaos kaki sandal abu dawud abdurrahman bin mahdi cerita hadits mughirah nabi shallallahu alaihi wasallam usap khuf abu dawud riwayat abu musa al asyari nabi shallallahu alaihi wasallam beliau usap kaos kaki hadits sambung kuat abu dawud sahabat usap kaos kaki ali bin abi thalib ibnu masud al bara bin azib anas bin malik abu umamah sahal bin saad amru bin huraits riwayat umar bin al khaththab ibnu abbas
98,cerita cerita abbad abar rasulullah shallallahu alaihi wasallam berwudhu usap sandal kaki beliau abbad lihat rasulullah shallallahu alaihi wasallam wudhu kaum musaddad perihal wudhu sepakat lafazh beliau berwudhu usap sandal kaki beliau
99,cerita cerita rasulullah shallallahu alaihi wasallam usap khuf muhammad beliau usap khuf
100,cerita makna cerita mahmud abar tuang air wudhu nabi shallallahu alaihi wasallam perang tabuk beliau usap khufnya abu dawud tsaur dengar hadits raja
101,cerita cerita al hakam bin sufyan ats tsaqafi rasulullah shallallahu alaihi wasallam buang air beliau berwudhu basuh malu air abu dawud jamaah sepakat lafazh sufyan sanad al hakam ibnu al hakam
102,cerita cerita cerita ibnu al hakam rasulullah shallallahu alaihi wasallam buang air beliau berwudhu percik air malu
103,cerita cerita dengar cerita hadits rasulullah shallallahu alaihi wasallam layan hadap ganti gembala unta gilir gembala unta sore masuk kandang rasulullah shallallahu alaihi wasallam khutbah orang dengar beliau sabda tiada orang berwudhu bagus wudhunya kerja shalat rakaat hadap hati wajah masuk surga bagus bagus alangkah bagus orang laki laki bagus uqbah pandang orang nyata radliallahu anhu abu hafsah sungguh beliau sabda engkau orang berwudhu bagus wudhunya berwudhu doa asyhadu an laa ilaaha illalaahu wahdahu la syariika lahu wa anna muhammad abduhu wa rasuluhu saksi tuhan hak sembah allah sekutu muhammad hamba rasul buka pintu pintu surga delapan masuk pintu cerita cerita cerita nabi shallallahu alaihi wasallam lafazh perkara gembala sabda beliau shallallahu alaihi wasallam bagus wudhunya angkat pandang langit hadits makna hadits muawiyah
104,cerita cerita muhammad abu asad bin amru berwudhu nabi shallallahu alaihi wasallam berwudhu kali kerja shalat kerja shalat wudhu
105,cerita cerita dengar cerita orang laki laki nabi shallallahu alaihi wasallam berwudhu tinggal kaki kuku basah rasulullah shallallahu alaihi wasallam sabda bagus wudhumu abu dawud hadits jarir bin hazim riwayat kecuali ibnu wahb hadits riwayat nabi shallallahu alaihi wasallam beliau sabda bagus wudhumu cerita cerita abar nabi shallallahu alaihi wasallam makna hadits qatadah anas
106,cerita cerita nabi shallallahu alaihi wasallam nabi shallallahu alaihi wasallam lihat orang laki laki shalat punggung telapak kaki dirham kena air nabi shallallahu alaihi wasallam perintah ulang wudhu shalatnya
107,cerita cerita abar rasulullah shallallahu alaihi wasallam sabda salah orang shalat gera dubur ragu berhadats tinggal shalatnya dengar bunyi kentut cium bau
108,cerita cerita cerita nabi shallallahu alaihi wasallam cium beliau berwudhu abu dawud riwayat abu dawud mursal ibrahim at taimi dengar hadits aisyah abu dawud ibrahim at taimi tinggal dunia umur puluh kuniyahnya abu asma
109,cerita cerita cerita nabi shallallahu alaihi wasallam cium salah orang istri beliau beliau shalat beliau berwudhu urwah engkau aisyah tertawa abu dawud riwayat cerita cerita cerita abar hadits abu dawud yahya bin said al qaththan orang laki laki cerita hadits hadits al amasy habib haditsnya sanad wanita mustahadhah berwudhu kali shalat yahya cerita hadits dhaif abu dawud riwayat ats tsauri cerita habib kecuali urwah al muzani cerita urwah bin az zubair abu dawud riwayat hadits shahih
110,cerita cerita cerita hadap nabiyullah shallallahu alaihi wasallam orang laki laki orang nabi allah orang sentuh malu berwudhu beliau sabda malu kerat daging orang abu dawud riwayat cerita cerita sanad makna sentuh malu shalat
111,cerita cerita cerita rasulullah shallallahu alaihi wasallam berwudhu makan daging unta beliau shallallahu alaihi wasallam sabda berwudhulah beliau berwudhu makan daging kambing beliau shallallahu alaihi wasallam sabda berwudhu beliau kerja shalat tambat unta beliau shallallahu alaihi wasallam sabda kerja shalat sungguh masuk setan beliau kerja shalat tambat kambing beliau sabda shalatlah sungguh kandung bara
112,cerita cerita rasulullah shallallahu alaihi wasallam pasuk pasar jalan orang jalan kiri kanan beliau beliau bangkai ekor anak kambing telinga beliau ambil anak kambing magang telinga sabda suka milik beliau hadits
113,cerita cerita rasulullah shallallahu alaihi wasallam makan daging paha kambing beliau kerja shalat berwudhu
114,cerita makna cerita malam tamu nabi shallallahu alaihi wasallam beliau perintah ambil potong daging kambing sate beliau ambil bilah pisau beliau potong motongnya pisau syubah bilal seru adzan shalat lempar pisau seraya sabda alangkah untung serius panggil manusia kerja shalat beliau kerja shalat al anbari kumis beliau potong ukur siwak beliau sabda potong ukur siwak
115,cerita cerita rasulullah shallallahu alaihi wasallam gigit daging paha kambing beliau kerja shalat berwudhu
116,cerita cerita abar dengar sembah nabi shallallahu alaihi wasallam potong roti daging beliau makan beliau air wudhu berwudhu air beliau kerja shalat dhuhur sisa makan beliau makan kerja shalat berwudhu
117,cerita cerita ibnu as sarj ibnu abi karimah masuk orang islam pilih cerita salah orang sahabat nabi shallallahu alaihi wasallam mesir dengar cerita hadits masjid mesir orang tujuh orang enam nabi shallallahu alaihi wasallam rumah orang bilal kumandang adzan shalat orang laki laki periuk api rasulullah shallallahu alaihi wasallam sabda periuk bagus daging periuk masak makan laki laki ya rela ayah tebus beliau ambil potong daging makan kunyah beliau masuk shalat lihat
